Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Adnp_IP04 Spectral Count	Adnp_IP05 Spectral Count	Adnp_IP06 Spectral Count	Chd4BF_IP07 Spectral Count	Chd4BF_IP08 Spectral Count	Chd4BF_IP09 Spectral Count	RBC_ctrl_IP01 Spectral Count	RBC_ctrl_IP02 Spectral Count	RBC_ctrl_IP03 Spectral Count	Adnp_IP04 Unique Spectral Count	Adnp_IP05 Unique Spectral Count	Adnp_IP06 Unique Spectral Count	Chd4BF_IP07 Unique Spectral Count	Chd4BF_IP08 Unique Spectral Count	Chd4BF_IP09 Unique Spectral Count	RBC_ctrl_IP01 Unique Spectral Count	RBC_ctrl_IP02 Unique Spectral Count	RBC_ctrl_IP03 Unique Spectral Count	Adnp_IP04 Total Spectral Count	Adnp_IP05 Total Spectral Count	Adnp_IP06 Total Spectral Count	Chd4BF_IP07 Total Spectral Count	Chd4BF_IP08 Total Spectral Count	Chd4BF_IP09 Total Spectral Count	RBC_ctrl_IP01 Total Spectral Count	RBC_ctrl_IP02 Total Spectral Count	RBC_ctrl_IP03 Total Spectral Count	Adnp_IP04 Intensity	Adnp_IP05 Intensity	Adnp_IP06 Intensity	Chd4BF_IP07 Intensity	Chd4BF_IP08 Intensity	Chd4BF_IP09 Intensity	RBC_ctrl_IP01 Intensity	RBC_ctrl_IP02 Intensity	RBC_ctrl_IP03 Intensity	Adnp_IP04 MaxLFQ Intensity	Adnp_IP05 MaxLFQ Intensity	Adnp_IP06 MaxLFQ Intensity	Chd4BF_IP07 MaxLFQ Intensity	Chd4BF_IP08 MaxLFQ Intensity	Chd4BF_IP09 MaxLFQ Intensity	RBC_ctrl_IP01 MaxLFQ Intensity	RBC_ctrl_IP02 MaxLFQ Intensity	RBC_ctrl_IP03 MaxLFQ Intensity	Indistinguishable Proteins
contam_Q6KB66-1	contam_Q6KB66-1 SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1 of Keratin, type II cytoskeletal 80	contam_Q6KB66-1 SWISS-PROT:Q6KB66-1 Tax_Id=9606 Gene_Symbol=KRT80 Isoform 1 of Keratin, type II cytoskeletal 80		452			SWISS-PROT:Q6KB66-1	1.0	0.999	14	55	31	234	3	17	3	3	1	4	6	5	13	1	12	0	1	1	2	4	3	7	26	42	20	21	18	21	28	18	40	1.8802448E7	1.13606336E8	1.044538E7	4.606144E7	3761110.5	3.89997E7	2.6615178E7	1.6528082E7	8.686224E7	1.0138079E7	4.6786532E7	0.0	1.7621774E7	0.0	1.6157193E7	1.0408191E7	1.0353529E7	3.3223488E7	
contam_Q7RTS7	contam_Q7RTS7 SWISS-PROT:Q7RTS7 Tax_Id=9606 Gene_Symbol=KRT74 Keratin, type II cytoskeletal 74	contam_Q7RTS7 SWISS-PROT:Q7RTS7 Tax_Id=9606 Gene_Symbol=KRT74 Keratin, type II cytoskeletal 74		529			SWISS-PROT:Q7RTS7	1.0	0.999	6	91	4	145	11	15	8	6	9	9	8	10	15	0	1	1	0	0	0	1	0	1	15	26	11	9	12	12	16	16	28	3.7064544E8	1.2054912E9	2.26847664E8	3.65463776E8	1.24298E8	2.46896704E8	3.15485408E8	2.52813664E8	7.1335251E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_Q7RTT2	contam_Q7RTT2 TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78	contam_Q7RTT2 TREMBL:Q7RTT2 Tax_Id=9606 Gene_Symbol=KRT78 Keratin-78		521			TREMBL:Q7RTT2	1.0	0.999	12	50	0	72	3	13	5	3	2	6	4	4	10	0	0	0	0	0	0	0	0	0	5	17	7	5	3	11	7	6	11	4.3708008E7	1.0652196E8	3.9631204E7	3.0092522E7	1.6442916E7	6.5204148E7	8027120.5	3.9517908E7	1.2006336E8	3.454842E7	7.183264E7	3.3451982E7	2.8433336E7	0.0	5.1612888E7	4.655482E7	3.3605664E7	1.05424904E8	contam_Q8N1N4-2
contam_Q7Z794	contam_Q7Z794 SWISS-PROT:Q7Z794 Tax_Id=9606 Gene_Symbol=KRT77 Keratin 77	contam_Q7Z794 SWISS-PROT:Q7Z794 Tax_Id=9606 Gene_Symbol=KRT77 Keratin 77		578			SWISS-PROT:Q7Z794	1.0	0.999	19	105	49	212	10	30	7	13	2	16	8	8	11	4	17	4	7	1	8	2	5	1	22	44	17	21	11	25	23	23	26	8.7296368E7	3.28651232E8	6.3090652E7	1.59804224E8	9328158.0	1.46276496E8	5.5562132E7	3.71651E7	8.2225368E7	1.3399672E8	5.3766893E8	1.767728E8	2.479836E8	0.0	2.47486192E8	1.17671016E8	7.63388E7	1.21721352E8	
contam_Q86YZ3	contam_Q86YZ3 SWISS-PROT:Q86YZ3 Tax_Id=9606 Gene_Symbol=HRNR Hornerin	contam_Q86YZ3 SWISS-PROT:Q86YZ3 Tax_Id=9606 Gene_Symbol=HRNR Hornerin		2850			SWISS-PROT:Q86YZ3	1.0	0.999	31	366	366	366	41	27	32	15	25	59	40	35	92	41	27	32	15	25	59	40	35	92	41	27	32	15	25	59	40	35	92	7.3263056E7	3.6326744E7	4.1340416E7	4.0715392E7	3.8918088E7	1.03887E8	6.236388E7	6.887292E7	3.13608512E8	5.7488512E7	3.1873818E7	3.6185776E7	3.0537048E7	3.0959238E7	1.00282832E8	5.7495016E7	5.5283628E7	2.82051808E8	
contam_Q9C075	contam_Q9C075 SWISS-PROT:Q9C075 Tax_Id=9606 Gene_Symbol=KRT23 Keratin, type I cytoskeletal 23	contam_Q9C075 SWISS-PROT:Q9C075 Tax_Id=9606 Gene_Symbol=KRT23 Keratin, type I cytoskeletal 23		422			SWISS-PROT:Q9C075	1.0	0.9989	4	5	4	5	0	2	0	1	0	1	0	0	1	0	2	0	1	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0.0	1.3928734E7	0.0	0.0	0.0	0.0	0.0	0.0	2.156539E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_Streptavidin	contam_Streptavidin (S.avidinii)	contam_Streptavidin (S.avidinii)		160			(S.avidinii)	1.0	0.999	9	2700	2700	2700	206	448	371	398	386	303	232	244	112	206	448	371	398	386	303	232	244	112	206	448	371	398	386	303	232	244	112	3.6196565E10	4.820172E10	3.8655754E10	4.9208709E10	5.0931892E10	3.7367648E10	3.36448369E10	3.9913087E10	2.53050327E10	8.5597901E9	2.67362468E10	2.07694356E10	3.23462021E10	3.1125291E10	2.11745526E10	1.20688773E10	1.21496627E10	3.02695603E9	
sp|A2A432-2|CUL4B_MOUSE	A2A432-2	CUL4B_MOUSE	Cul4b	941	Mus musculus OX=10090		Isoform 2 of Cullin-4B	0.9999	0.999	2	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	1950767.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A2A432|CUL4B_MOUSE, tr|E9PXY1|E9PXY1_MOUSE
sp|A2A791|ZMYM4_MOUSE	A2A791	ZMYM4_MOUSE	Zmym4	1549	Mus musculus OX=10090	1:Experimental evidence at protein level	Zinc finger MYM-type protein 4	1.0	0.999	45	173	2	173	12	6	35	1	118	1	0	0	0	0	0	0	0	2	0	0	0	0	12	6	35	1	118	1	0	0	0	4.2859656E7	3.1963912E7	1.258236E8	7998408.0	7.3742874E8	0.0	0.0	0.0	0.0	3.9356256E7	2.593575E7	9.7620688E7	0.0	5.1459344E8	0.0	0.0	0.0	0.0	
sp|A2A8L1|CHD5_MOUSE	A2A8L1	CHD5_MOUSE	Chd5	1946	Mus musculus OX=10090	1:Experimental evidence at protein level	Chromodomain-helicase-DNA-binding protein 5	1.0	0.999	30	27	0	933	2	3	2	7	3	10	0	0	0	0	0	0	0	0	0	0	0	0	85	85	124	254	135	250	0	0	0	0.0	3.3383172E7	6.6869816E7	2.53742608E8	3.782714E7	2.44753056E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|E9PYL1|E9PYL1_MOUSE, tr|E9PYU4|E9PYU4_MOUSE
sp|A2AUM9|CE152_MOUSE	A2AUM9	CE152_MOUSE	Cep152	1736	Mus musculus OX=10090	1:Experimental evidence at protein level	Centrosomal protein of 152 kDa	1.0	0.9968	2	5	5	5	1	3	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	3443758.5	1.8583522E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A3KGV1-2|ODFP2_MOUSE	A3KGV1-2	ODFP2_MOUSE	Odf2	806	Mus musculus OX=10090		Isoform 2 of Outer dense fiber protein 2	1.0	0.999	5	6	0	6	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	1437751.2	1.4388081E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|A3KGV1-3|ODFP2_MOUSE, sp|A3KGV1-4|ODFP2_MOUSE, sp|A3KGV1|ODFP2_MOUSE
sp|B1AWL2|ZN462_MOUSE	B1AWL2	ZN462_MOUSE	Znf462	2495	Mus musculus OX=10090	1:Experimental evidence at protein level	Zinc finger protein 462	1.0	0.999	98	765	293	765	0	0	1	78	668	18	0	0	0	0	0	0	36	248	9	0	0	0	0	0	1	78	668	18	0	0	0	0.0	0.0	0.0	2.32700208E8	7.2608451E9	7.598776E7	0.0	0.0	0.0	0.0	0.0	0.0	2.74120832E8	4.6874051E9	8.2934152E7	0.0	0.0	0.0	
sp|B2RRE4|Z518B_MOUSE	B2RRE4	Z518B_MOUSE	Znf518b	1077	Mus musculus OX=10090	2:Experimental evidence at transcript level	Zinc finger protein 518B	1.0	0.999	29	73	2	73	1	0	1	1	70	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	70	0	0	0	0	840969.6	0.0	1085704.0	3055694.5	6.4563028E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|B2RRF6|Z518A_MOUSE	B2RRF6	Z518A_MOUSE	Znf518a	1478	Mus musculus OX=10090	2:Experimental evidence at transcript level	Zinc finger protein 518A	1.0	0.999	35	53	53	53	0	0	0	0	53	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	53	0	0	0	0	0.0	0.0	0.0	0.0	1.53740496E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|C0HKE1|H2A1B_MOUSE	C0HKE1	H2A1B_MOUSE	Hist1h2ab	130	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone H2A type 1-B	1.0	0.999	11	662	0	662	87	92	94	82	88	66	45	43	65	0	0	0	0	0	0	0	0	0	87	92	94	82	88	66	45	43	65	2.1389185E10	2.91724882E10	3.3712726E10	1.97769912E10	3.42528635E10	1.32886538E10	3.15208653E9	3.30173696E9	6.6557225E9	9.3747364E9	1.27404954E10	1.29721917E10	8.6756577E9	1.27064945E10	6.9021327E9	1.44241152E9	1.39207923E9	2.86098458E9	sp|C0HKE2|H2A1C_MOUSE, sp|C0HKE3|H2A1D_MOUSE, sp|C0HKE4|H2A1E_MOUSE, sp|C0HKE5|H2A1G_MOUSE, sp|C0HKE6|H2A1I_MOUSE, sp|C0HKE7|H2A1N_MOUSE, sp|C0HKE8|H2A1O_MOUSE, sp|C0HKE9|H2A1P_MOUSE, sp|Q8BFU2|H2A3_MOUSE, sp|Q8CGP5|H2A1F_MOUSE, sp|Q8CGP6|H2A1H_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
sp|E9PVX6|KI67_MOUSE	E9PVX6	KI67_MOUSE	Mki67	3177	Mus musculus OX=10090	1:Experimental evidence at protein level	Proliferation marker protein Ki-67	1.0	0.999	6	10	1	10	0	0	1	3	3	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	3	2	0	1	0	0.0	0.0	614710.56	2157517.5	8426561.0	2672794.8	0.0	0.0	0.0	0.0	0.0	0.0	4544631.5	9756023.0	6256631.0	0.0	0.0	0.0	
sp|E9Q3L2|PI4KA_MOUSE	E9Q3L2	PI4KA_MOUSE	Pi4ka	2105	Mus musculus OX=10090	1:Experimental evidence at protein level	Phosphatidylinositol 4-kinase alpha	1.0	0.9982	2	9	7	9	1	1	1	0	0	0	1	2	3	1	1	1	0	0	0	1	1	2	1	1	1	0	0	0	1	2	3	6.5668832E7	7.077744E7	0.0	0.0	0.0	0.0	4.7656956E7	1.8575346E7	3.407904E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53446976E8	3.67170976E8	
sp|E9Q4Z2|ACACB_MOUSE	E9Q4Z2	ACACB_MOUSE	Acacb	2448	Mus musculus OX=10090	1:Experimental evidence at protein level	Acetyl-CoA carboxylase 2	1.0	0.999	82	756	750	961	115	82	87	82	76	63	94	86	71	114	82	86	80	75	63	93	86	71	146	102	108	95	96	77	126	115	96	3.969792E8	3.1250192E8	3.68119616E8	3.65723328E8	3.5290304E8	2.7198336E8	3.76933792E8	3.4610608E8	3.52557856E8	1.63618832E8	1.25739576E8	1.37378512E8	1.42581648E8	1.30600712E8	1.05912296E8	1.36993088E8	1.27144896E8	1.49868336E8	
sp|E9Q557|DESP_MOUSE	E9Q557	DESP_MOUSE	Dsp	2883	Mus musculus OX=10090	1:Experimental evidence at protein level	Desmoplakin	1.0	0.999	36	147	21	147	11	13	9	2	5	17	11	11	68	3	2	1	0	2	1	1	0	11	11	13	9	2	5	17	11	11	68	3.911008E7	7.502912E7	3.7805624E7	1.7833854E7	4.2993952E7	7.3517608E7	4.1671384E7	5.1740996E7	3.03320352E8	3.1089488E7	3.1547156E7	2.320156E7	2.538494E7	2.3434852E7	3.48872E7	3.247298E7	2.7877042E7	1.41409296E8	
sp|E9Q5G3|KIF23_MOUSE	E9Q5G3	KIF23_MOUSE	Kif23	953	Mus musculus OX=10090	1:Experimental evidence at protein level	Kinesin-like protein KIF23	1.0	0.9989	5	8	3	8	2	5	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	5	0	0	0	1	0	0	0	7140309.0	9551376.0	0.0	0.0	0.0	6992594.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9Q6W4|ZN296_MOUSE	E9Q6W4	ZN296_MOUSE	Znf296	445	Mus musculus OX=10090	1:Experimental evidence at protein level	Zinc finger protein 296	1.0	0.999	12	82	82	82	0	0	0	37	7	38	0	0	0	0	0	0	37	7	38	0	0	0	0	0	0	37	7	38	0	0	0	0.0	0.0	0.0	7.107657E8	8.7642152E7	6.0378266E8	0.0	0.0	0.0	0.0	0.0	0.0	3.41017056E8	4.1191336E7	3.24207104E8	0.0	0.0	0.0	
sp|O08583-2|THOC4_MOUSE	O08583-2	THOC4_MOUSE	Alyref	163	Mus musculus OX=10090		Isoform 2 of THO complex subunit 4	1.0	0.999	2	3	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.0	8801161.0	0.0	4.125594E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|O08583|THOC4_MOUSE, sp|Q9JJW6-2|ALRF2_MOUSE, sp|Q9JJW6|ALRF2_MOUSE, tr|G3X9I4|G3X9I4_MOUSE
sp|O09106|HDAC1_MOUSE	O09106	HDAC1_MOUSE	Hdac1	482	Mus musculus OX=10090	1:Experimental evidence at protein level	Histone deacetylase 1	1.0	0.999	36	486	253	486	10	8	20	212	30	204	1	1	0	4	3	8	112	14	112	0	0	0	10	8	20	212	30	204	1	1	0	9.599328E7	1.26200304E8	4.17112128E8	1.09720893E10	8.3815162E8	1.05945733E10	3986248.8	6623832.5	0.0	5.4636144E7	5.5156064E7	1.64044544E8	4.6376709E9	4.0517584E8	3.87247078E9	0.0	0.0	0.0	
sp|O35207|CDKA1_MOUSE	O35207	CDKA1_MOUSE	Cdk2ap1	114	Mus musculus OX=10090	1:Experimental evidence at protein level	Cyclin-dependent kinase 2-associated protein 1	1.0	0.999	6	101	30	101	0	0	0	46	9	46	0	0	0	0	0	0	15	2	13	0	0	0	0	0	0	46	9	46	0	0	0	0.0	0.0	0.0	3.38910566E9	2.11575888E8	3.79347814E9	0.0	0.0	0.0	0.0	0.0	0.0	1.62895757E9	9.0715184E7	1.89238336E9	0.0	0.0	0.0	
sp|O35286|DHX15_MOUSE	O35286	DHX15_MOUSE	Dhx15	795	Mus musculus OX=10090	1:Experimental evidence at protein level	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	1.0	0.9989	4	12	1	12	1	3	3	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	3	3	1	1	3	0	0	0	0.0	2.0215168E7	1.1087358E7	1.0287705E7	1.081816E7	1.1549669E7	0.0	0.0	0.0	0.0	1.1738717E7	6653974.0	0.0	0.0	6830122.5	0.0	0.0	0.0	
sp|O35343|IMA3_MOUSE	O35343	IMA3_MOUSE	Kpna4	521	Mus musculus OX=10090	1:Experimental evidence at protein level	Importin subunit alpha-3	0.7429	0.9983	1	2	2	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	4687715.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O35344|IMA4_MOUSE	O35344	IMA4_MOUSE	Kpna3	521	Mus musculus OX=10090	1:Experimental evidence at protein level	Importin subunit alpha-4	0.9998	0.9981	2	3	3	3	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0.0	0.0	0.0	1.0103695E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O35345|IMA7_MOUSE	O35345	IMA7_MOUSE	Kpna6	536	Mus musculus OX=10090	1:Experimental evidence at protein level	Importin subunit alpha-7	0.7424	0.9983	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	6787809.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|Q4FJZ2|Q4FJZ2_MOUSE
sp|O35730|RING1_MOUSE	O35730	RING1_MOUSE	Ring1	406	Mus musculus OX=10090	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase RING1	1.0	0.999	8	10	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0.0	0.0	0.0	0.0	8.7192888E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O35737|HNRH1_MOUSE	O35737	HNRH1_MOUSE	Hnrnph1	449	Mus musculus OX=10090	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0	0.999	5	13	0	36	0	4	1	2	1	3	0	1	1	0	0	0	0	0	0	0	0	0	3	7	5	5	5	6	1	2	2	0.0	1.2086042E7	1.9364008E7	6574596.0	2.8562284E7	0.0	0.0	0.0	7810354.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|Q8C2Q7|Q8C2Q7_MOUSE
sp|O54917|E2F6_MOUSE	O54917	E2F6_MOUSE	E2f6	272	Mus musculus OX=10090	2:Experimental evidence at transcript level	Transcription factor E2F6	1.0	0.999	13	25	25	25	0	0	0	0	25	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	25	0	0	0	0	0.0	0.0	0.0	0.0	5.366928E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O54946-2|DNJB6_MOUSE	O54946-2	DNJB6_MOUSE	Dnajb6	242	Mus musculus OX=10090		Isoform B of DnaJ homolog subfamily B member 6	1.0	0.999	3	12	0	12	1	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	2	2	2	0	0	2447049.0	1722590.5	8789061.0	0.0	1.7271608E7	3276514.8	2033379.6	0.0	0.0	0.0	3325512.8	7154282.0	0.0	1.178434E7	0.0	0.0	0.0	0.0	sp|O54946|DNJB6_MOUSE, tr|A0A0G2JER9|A0A0G2JER9_MOUSE, tr|G3X8S5|G3X8S5_MOUSE
sp|O70126|AURKB_MOUSE	O70126	AURKB_MOUSE	Aurkb	345	Mus musculus OX=10090	1:Experimental evidence at protein level	Aurora kinase B	0.8303	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	1.0936371E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O70230-2|ZN143_MOUSE	O70230-2	ZN143_MOUSE	Znf143	637	Mus musculus OX=10090		Isoform 2 of Zinc finger protein 143	1.0	0.9988	4	9	0	9	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0.0	0.0	1.1972136E7	0.0	7.0191944E7	0.0	0.0	0.0	0.0	0.0	0.0	6277773.0	0.0	2.477665E7	0.0	0.0	0.0	0.0	sp|O70230-3|ZN143_MOUSE, sp|O70230|ZN143_MOUSE
sp|O70494-2|SP3_MOUSE	O70494-2	SP3_MOUSE	Sp3	739	Mus musculus OX=10090		Isoform 2 of Transcription factor Sp3	1.0	0.999	2	3	0	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0.0	0.0	0.0	1073571.8	1.3111276E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|O70494-3|SP3_MOUSE, sp|O70494|SP3_MOUSE
sp|O88569-2|ROA2_MOUSE	O88569-2	ROA2_MOUSE	Hnrnpa2b1	341	Mus musculus OX=10090		Isoform 2 of Heterogeneous nuclear ribonucleoproteins A2/B1	1.0	0.999	3	12	0	12	3	3	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	3	1	1	0	2	0	2	0	2.2072272E7	2.8113194E7	0.0	0.0	0.0	1.4293485E7	0.0	1.1063339E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|O88569-3|ROA2_MOUSE, sp|O88569|ROA2_MOUSE
sp|O89090|SP1_MOUSE	O89090	SP1_MOUSE	Sp1	784	Mus musculus OX=10090	1:Experimental evidence at protein level	Transcription factor Sp1	1.0	0.999	4	6	0	6	0	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0.0	0.0	0.0	6387980.5	1.1704887E7	5050392.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|G3X8Q0|G3X8Q0_MOUSE
sp|P05064|ALDOA_MOUSE	P05064	ALDOA_MOUSE	Aldoa	364	Mus musculus OX=10090	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	6	8	0	8	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0.0	8.0826792E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A6ZI44|A6ZI44_MOUSE, tr|D3YWI1|D3YWI1_MOUSE
sp|P05213|TBA1B_MOUSE	P05213	TBA1B_MOUSE	Tuba1b	451	Mus musculus OX=10090	1:Experimental evidence at protein level	Tubulin alpha-1B chain	1.0	0.999	12	133	0	133	14	25	7	15	20	26	7	9	10	0	0	0	0	0	0	0	0	0	14	25	7	15	20	26	7	9	10	9.5466304E7	1.84660032E8	5.8613352E7	1.190514E8	1.44557152E8	1.61263072E8	3.9389064E7	6.259868E7	6.1662352E7	5.8454336E7	1.03169608E8	3.0683052E7	6.6289772E7	8.4405096E7	8.9364488E7	2.3183096E7	4.1767712E7	3.9076168E7	sp|P68373|TBA1C_MOUSE
sp|P07310|KCRM_MOUSE	P07310	KCRM_MOUSE	Ckm	381	Mus musculus OX=10090	1:Experimental evidence at protein level	Creatine kinase M-type	1.0	0.999	2	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0.0	6.1457204E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	tr|A0A0J9YKD4|A0A0J9YKD4_MOUSE
sp|P07356|ANXA2_MOUSE	P07356	ANXA2_MOUSE	Anxa2	339	Mus musculus OX=10090	1:Experimental evidence at protein level	Annexin A2	1.0	0.999	6	19	0	19	2	6	0	2	0	3	2	1	3	0	0	0	0	0	0	0	0	0	2	6	0	2	0	3	2	1	3	8384329.0	2.5657788E7	0.0	1.6261863E7	0.0	2.2715876E7	0.0	0.0	1.8259226E7	1.0774997E7	1.4623391E7	0.0	8055104.0	0.0	1.3745726E7	0.0	0.0	0.0	
sp|P07724|ALBU_MOUSE	P07724	ALBU_MOUSE	Alb	608	Mus musculus OX=10090	1:Experimental evidence at protein level	Serum albumin	1.0	0.999	3	33	33	383	4	3	4	5	2	2	6	5	2	4	3	4	5	2	2	6	5	2	41	39	38	57	49	33	35	52	39	0.0	0.0	1.70275328E8	0.0	0.0	0.0	0.0	7786308.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P08551|NFL_MOUSE	P08551	NFL_MOUSE	Nefl	543	Mus musculus OX=10090	1:Experimental evidence at protein level	Neurofilament light polypeptide	1.0	0.999	15	44	44	47	8	9	1	3	8	8	1	5	1	8	9	1	3	8	8	1	5	1	9	9	1	3	9	9	1	5	1	2.263911E7	6.9014944E7	5519996.5	3.3785396E7	3.780448E7	9.010768E7	7138831.0	3.6585944E7	1.37995E7	2.1221646E7	3.7541932E7	0.0	1.7840706E7	4.0045896E7	5.4485408E7	0.0	1.8903786E7	0.0	
sp|P08553|NFM_MOUSE	P08553	NFM_MOUSE	Nefm	848	Mus musculus OX=10090	1:Experimental evidence at protein level	Neurofilament medium polypeptide	1.0	0.999	22	108	0	124	17	20	2	6	16	25	4	14	4	0	0	0	0	0	0	0	0	0	19	22	2	8	16	27	6	19	5	7.4144296E7	1.1632248E8	6920764.0	5.42408E7	9.7636176E7	1.28736704E8	7081127.0	4.4939244E7	3.100517E7	3.359452E7	4.9899516E7	0.0	2.558185E7	4.7646692E7	5.6398816E7	1.0035074E7	2.4756364E7	1.986259E7	tr|A0A0R4J036|A0A0R4J036_MOUSE
sp|P09405|NUCL_MOUSE	P09405	NUCL_MOUSE	Ncl	707	Mus musculus OX=10090	1:Experimental evidence at protein level	Nucleolin	1.0	0.999	6	19	19	19	1	4	3	6	3	2	0	0	0	1	4	3	6	3	2	0	0	0	1	4	3	6	3	2	0	0	0	0.0	3.2123666E7	2.7077258E7	4.8338016E7	3.7947096E7	0.0	0.0	0.0	0.0	0.0	1.4552263E7	1.2109606E7	2.1513448E7	2.4747624E7	0.0	0.0	0.0	0.0	
